Incident or Case Number ,Date Reported,Time of Day,Time Reported,Incident Type,Location of Incident,Latitude,Longitude,Date Occurred,Time Occurred,Disposition,Narrative
21-03-27-005706,3/27/21,Night,0:32,Noise Complaint,Coventry Street,42.33710911,-71.08591388,3/27/21,0:32,Area Checked,Caller reports loud noise in the area.
21-03-27-005720,3/27/21,Morning,7:03,Investigate Person,Ruggles Street,42.33638528,-71.09215797,3/27/21,7:03,BPD Assumed Jurisdiction,Individual acting disorderly in a vehicle.
21-03-26-005644,3/26/21,Early Morning,1:43,Investigate Person,Tremont Street,42.33580758,-71.08677483,3/26/21,1:43,Services Rendered,Individual loitering in the area.
21-03-26-005695,3/26/21,Evening,20:48,Intoxicated Person,Massachusetts Avenue,42.34106436,-71.08240952,3/26/21,20:48,Area Checked,Caller reports intoxicated individual in the street.
21-03-26-005687,3/26/21,Afternoon,16:13,Suspicious Activity,Fencourt Street,42.33974173,-71.09148124,3/26/21,16:13,Services Rendered,Caller reports individuals taking pictures in the area.
310323,3/25/21,Evening,19:03,Liquor Law Violation; Possession of Fake ID,Lightview,42.33753724,-71.08564384,3/25/21,19:03,Report Filed,Alcohol and Fake ID's confiscated.
210321,3/25/21,Afternoon,14:35,Fraud/Scam,Ryder Hall,42.33670828,-71.09087176,3/21/21,14:25,Report Filed,"Caller reports an attempted scam for $1,000."
21-03-25-005612,3/25/21,Afternoon,16:36,Investigate Person,650 Columbus Ave,42.33907823,-71.08353973,3/25/21,16:36,Area Checked,Caller reports individual knocking on several doors in the area.
21-03-25-005626,3/25/21,Night,22:13,Investigate Person,Carter Park,42.33898251,-71.08504954,3/25/21,22:13,Sent On Way,Caller reports individual harassing others in the area.
21-03-25-005595,3/25/21,Morning,10:39,Disorderly Conduct,Snell Library,42.33849928,-71.08809276,3/25/21,10:39,Services Rendered,Caller reports disorderly individual in the area.
21-03-25-005599,3/25/21,Midday,12:34,Investigate Person,Huntington Ave,42.34019639,-71.08928366,3/25/21,12:34,Services Rendered,Caller reports a suspicious vehicle in the area.
21-03-25-005625,3/25/21,Evening,21:51,Intoxicated Person,142 Hemenway Street,42.34222974,-71.09025349,3/25/21,21:51,Sent On Way,Intoxicated individual in the lobby.
